baseline,S1,S2,S12,S15,S16,S14
586302.9621097224,938021.5437480524,994927.2229001649,1000496.8407162887,999961.3915090043,1006353.3122749405,1007260.2064072615
772929.3938805407,1094371.6778496515,1128921.6822733083,1139961.6349826297,1142519.193766081,1142134.5723894676,1139519.1036102227
1166435.8835998916,1327841.145103466,1399209.715967714,1396204.9067692705,1400100.71430773,1393686.2523340324,1400205.1198736532
617264.5208532378,1068931.4885465966,1081860.668935986,1101187.426752046,1102057.8029317784,1104373.173559832,1107550.5384039392
893712.1589448015,1220297.699052749,1267368.2237996806,1271166.0912207488,1271438.5335680204,1270986.9682512437,1279812.3498565103
