baseline,S1,S2,S12,S15,S14
771004.9326444067,1078034.9355444587,1114745.1988223018,,,1152653.625856819
873266.9725631747,1135402.6085778703,1177704.6963212495,,,1208872.320273641
875833.2588912626,1168747.3034844275,1209278.3882617194,,,1242640.5727520252
895027.9052318877,1176374.5530780803,1233051.6600294719,,,1258934.4123791489
738486.9320691333,1083179.9909240543,1127736.21174978,,,1156238.1006425712
942241.8270890589,1219464.7694266469,1271146.5550988298,,,1301719.219859988
1042244.9422557342,1265345.321329529,1312008.694616885,,,1347340.8043990426
875004.2848896316,1111039.7734805944,1157249.65622905,,,1181708.8471256213
878122.2523658979,1213590.7620339035,1247505.9609183585,,,1282952.8248532806
819266.5598662236,1153697.1475435775,1185305.0653138093,,,1226948.7357468
