baseline,S1,S2,S12,S15,S14
811035.8021795581,1131248.2122054107,1168118.5357760608,1192565.2814843562,1193725.6805507124,1205594.8210623267
806847.1487880452,1151185.4834997356,1186023.3014760904,1206138.339590381,1209523.2076331226,1214710.8658896065
841920.0719419606,1157469.0037390662,1212384.8489956663,1222999.406829357,1222839.9593264672,1236447.975161359
1002518.2194749578,1247401.1168952277,1307424.904500299,1324262.9133956525,1325012.085534384,1337862.7881884829
747296.0786072053,1071478.2872115283,1108699.2875230864,1121148.7338640923,1122853.259954711,1132253.825501335
