baseline,S1,S2,S12,S15,S14
734947.4502348782,1055099.9572174684,1099471.0892068406,1119102.2530063675,1122286.8764625217,1128656.4870044272
739756.5727599948,1052423.328401493,1080942.5596581383,1107508.7183092472,1105491.9586722322,1114316.6107811453
889382.6446452967,1206040.7363476362,1258771.9902853426,1275286.450044928,1276049.070486409,1281264.4737103393
807639.9592776601,1138097.3943626757,1196263.2647290833,1215610.704067679,1215009.6170691464,1226142.669087201
865132.8459758555,1181502.3644815823,1209444.349385353,1224827.648524914,1225525.917341546,1235888.3720218032
