baseline,S1,S2,S12,S15,S14
811035.8021795581,1131248.2122054107,1168118.5357760608,1192565.2814843562,1195669.4649911504,1205594.8210623267
806847.1487880452,1151185.4834997356,1186023.3014760904,1206138.339590381,1206578.9617550836,1214710.8658896065
841920.0719419606,1157469.0037390662,1212384.8489956663,1222999.406829357,1227187.0288722944,1236447.975161359
1002518.2194749578,1247401.1168952277,1307424.904500299,1324262.9133956525,1325298.9256791966,1337862.7881884829
747296.0786072053,1071478.2872115283,1108699.2875230864,1121148.7338640923,1122604.1906352106,1132253.825501335
