baseline,S1,S2,S12,S15,S14
803439.6480607261,1092868.9490274955,1142429.3702057183,1165384.8226591123,1165868.307925876,1177023.579229392
1014891.3331830484,1322140.5566440606,1364966.601993424,1379595.2072662762,1379070.8364855968,1390212.4125239626
814603.4483902083,1117763.5021166294,1146134.549699286,1168122.985402842,1168849.3513369288,1176370.9760966394
873471.6490817901,1090673.3787115905,1154021.154991859,1172887.2340701232,1173556.3290410317,1185288.012211907
654035.2483993283,988110.7060807938,1030279.9442153673,1046143.8052919859,1046209.4523217267,1056409.171263815
