baseline,S1,S2,S12,S15,S14
771004.9326444067,1078034.9355444587,1114745.1988223018,1141807.6978817119,1141336.5306059725,1152653.625856819
873266.9725631747,1135402.6085778703,1177704.6963212495,1200765.5277027825,1200049.0781906846,1208872.320273641
875833.2588912626,1168747.3034844275,1209278.3882617194,1230328.479174139,1230124.2147405692,1242640.5727520252
895027.9052318877,1176374.5530780803,1233051.6600294719,1246801.723240131,1245818.677814702,1258934.4123791489
738486.9320691333,1083179.9909240543,1127736.21174978,1142797.9354309766,,1156238.1006425712
942241.8270890589,1219464.7694266469,1271146.5550988298,1290493.3877362432,1287722.4059640425,1301719.219859988
1042244.9422557342,1265345.321329529,1312008.694616885,1335638.6323817486,1335353.9728621535,1347340.8043990426
875004.2848896316,1111039.7734805944,1157249.65622905,1177110.8098161905,1175464.7279240647,1181708.8471256213
878122.2523658979,1213590.7620339035,1247505.9609183585,1271514.7428718403,1270653.4549021428,1282952.8248532806
819266.5598662236,1153697.1475435775,1185305.0653138093,1214112.9720509534,1214743.1444711774,1226948.7357468
