baseline,S1,S2,S12,S15,S14
860514.4091281081,1146675.7253999517,1188643.1401424084,,,1219664.009206776
905133.7835564071,1148136.8392432313,1192920.5038110323,,,1227778.7001936221
740054.6139916108,1062453.354291402,1105312.1318920942,,,1133582.3809435791
818084.9076148489,1098940.2425354589,1137804.6397922167,,,1178052.8107251327
931688.6854476228,1202582.368398104,1247729.9935728076,,,1282371.899976624
840896.6752402489,1142469.7944831224,1188320.062394923,,,1216535.9201116848
799807.6981592182,1113295.3452243158,1159054.576152966,,,1188684.948939278
898479.3593938863,1170563.313871611,1212012.6980820447,,,1248469.74456773
931998.0624997328,1186524.6428087882,1234983.3036621502,,,1268097.8224679416
866954.2772918487,1164421.9087810195,1202853.0429700417,,,1242152.9682121177
