baseline,S1,S2,S12,S15,S14
841978.097494475,1126220.862149489,1165965.9156570032,,,1197516.1665582382
919442.3783099708,1185864.347294226,1229551.2164601905,,,1262567.945962166
870124.2829761314,1178846.910167662,1222108.999845249,,,1251693.1670038677
875401.4282618585,1163113.1309173435,1211941.6097843281,,,1243667.8540871583
918055.6635093804,1215034.1689516176,1245890.454874442,,,1274701.7084088589
828355.2309305433,1142478.252727784,1177969.907436569,,,1214785.7488942114
918929.7174882868,1176043.6375491137,1231133.3134056733,,,1261229.9983404002
870158.6778941315,1133068.823099162,1183634.2367636405,,,1213956.4844309657
866269.4185420773,1198241.5682111585,1246144.7288585687,,,1279846.0656473818
827008.3395065297,1125464.7426261255,1168759.2722026778,,,1201374.1390592193
