baseline,S1,S2,S12,S15,S14
707802.539084599,1136083.8456326688,1184622.0283811088,,,1204906.2337693651
941126.2222644385,1325036.9410065715,1350303.6667636798,,,1362896.1915656303
1111920.635292249,1422838.8006854043,1485111.2022831808,,,1488935.0373011902
823101.3508322154,1029762.7890452212,1068761.2893190917,,,1083946.9379257965
686600.1657302773,1082950.0710558393,1101963.194094975,,,1120592.6065834474
836597.0780921483,1181178.1738412525,1198566.747479255,,,1206970.4120556316
637442.6902637078,917090.9722718984,992861.0103886586,,,1000017.293337553
1068680.9632085967,1257594.2937089636,1328268.1051917607,,,1331881.7247622763
1390185.2132873915,1605874.8703753487,1679424.6974915839,,,1692102.54177802
491471.84529569873,870615.1133966174,902860.8176484669,,,923240.366041262
