baseline,S1,S2,S12,S15,S14
963540.774627192,1258797.9228998397,1312565.0740800826,,,1337375.5224649906
945956.105800481,1206911.6594526363,1242461.258546252,,,1271973.999944677
888083.1827462435,1192600.5344719433,1239765.2435861523,,,1262480.5227027878
936035.4587661712,1263945.507507454,1297815.9439771178,,,1324683.6406087002
1058393.476798688,1323566.2618235026,1370946.3330924471,,,1395552.4789307048
1147138.693329192,1329647.5843839513,1408048.291470878,,,1410597.9363599133
859496.0210706919,1149241.3819179216,1206379.372601808,,,1215456.694701609
868349.4091046543,1170309.0606861946,1227872.2402885663,,,1232332.79119281
817765.216180319,1145143.240702582,1196307.2637601518,,,1221421.1596869915
852245.3956578826,1190973.1512617294,1235554.6259609929,,,1259367.5043760813
