chunk_size,lasso_beta,folds,train_df,test_df
20,1,10,"[{'baseline': 707802.539084599, 'S1': 1136083.8456326688, 'S2': 1184622.0283811088, 'S12': None, 'S15': None, 'S14': 1204906.2337693651}, {'baseline': 941126.2222644385, 'S1': 1325036.9410065715, 'S2': 1350303.6667636798, 'S12': None, 'S15': None, 'S14': 1362896.1915656303}, {'baseline': 1111920.635292249, 'S1': 1422838.8006854043, 'S2': 1485111.2022831808, 'S12': None, 'S15': None, 'S14': 1488935.0373011902}, {'baseline': 823101.3508322154, 'S1': 1029762.7890452212, 'S2': 1068761.2893190917, 'S12': None, 'S15': None, 'S14': 1083946.9379257965}, {'baseline': 686600.1657302773, 'S1': 1082950.0710558393, 'S2': 1101963.194094975, 'S12': None, 'S15': None, 'S14': 1120592.6065834474}, {'baseline': 836597.0780921483, 'S1': 1181178.1738412525, 'S2': 1198566.747479255, 'S12': None, 'S15': None, 'S14': 1206970.4120556316}, {'baseline': 637442.6902637078, 'S1': 917090.9722718984, 'S2': 992861.0103886586, 'S12': None, 'S15': None, 'S14': 1000017.293337553}, {'baseline': 1068680.9632085967, 'S1': 1257594.2937089636, 'S2': 1328268.1051917607, 'S12': None, 'S15': None, 'S14': 1331881.7247622763}, {'baseline': 1390185.2132873915, 'S1': 1605874.8703753487, 'S2': 1679424.6974915839, 'S12': None, 'S15': None, 'S14': 1692102.54177802}, {'baseline': 491471.84529569873, 'S1': 870615.1133966174, 'S2': 902860.8176484669, 'S12': None, 'S15': None, 'S14': 923240.366041262}]","[{'baseline': 438000.4526196775, 'S1': 687880.0671350334, 'S2': 568933.2019364821, 'S14': 767713.7431165286}, {'baseline': 930920.956528149, 'S1': 1139655.5766999964, 'S2': 1067190.7129832527, 'S14': 1179514.5162939376}, {'baseline': 905627.7794685062, 'S1': 1250966.4654559235, 'S2': 1202506.4286264465, 'S14': 1300734.0110214693}, {'baseline': 817133.8298236353, 'S1': 1665322.1241544127, 'S2': 1574763.5685618373, 'S14': 1702633.4206546254}, {'baseline': 899621.558348676, 'S1': 1041469.2687215584, 'S2': 884468.14649149, 'S14': 1101510.1130261007}, {'baseline': 877235.5779467348, 'S1': 1160314.534598716, 'S2': 1037971.7667363599, 'S14': 1207835.1141892925}, {'baseline': 701177.7922197139, 'S1': 1056346.6594320778, 'S2': 1107718.1622629706, 'S14': 1156604.6305437286}, {'baseline': 958713.4416663727, 'S1': 1148656.5425958259, 'S2': 1033678.2001721036, 'S14': 1214156.7837479324}, {'baseline': 903873.3366223183, 'S1': 1092616.2695282102, 'S2': 1125917.009734912, 'S14': 1255827.2473434487}, {'baseline': 731456.57362959, 'S1': 1422524.5550988943, 'S2': 1407750.9945834812, 'S14': 1482769.9830990362}]"
40,1,10,"[{'baseline': 877081.1330510875, 'S1': 1167123.1179599627, 'S2': 1230151.6193959254, 'S12': None, 'S15': None, 'S14': 1255803.1687665521}, {'baseline': 919674.0504887232, 'S1': 1180833.115393106, 'S2': 1234420.2275956725, 'S12': None, 'S15': None, 'S14': 1250552.7599348833}, {'baseline': 1070188.3776650517, 'S1': 1255640.5526988, 'S2': 1315385.1870503747, 'S12': None, 'S15': None, 'S14': 1315960.3326164072}, {'baseline': 829027.422354609, 'S1': 1144446.4579644983, 'S2': 1186043.214301669, 'S12': None, 'S15': None, 'S14': 1204891.6211904478}, {'baseline': 893964.7968757469, 'S1': 1133410.5106426158, 'S2': 1185757.5975524173, 'S12': None, 'S15': None, 'S14': 1210218.9842188852}, {'baseline': 768248.9451105302, 'S1': 1053335.1365641486, 'S2': 1075148.207852719, 'S12': None, 'S15': None, 'S14': 1107977.0673551257}, {'baseline': 789950.5168105513, 'S1': 1099734.6207639317, 'S2': 1130566.6829455206, 'S12': None, 'S15': None, 'S14': 1167042.342297168}, {'baseline': 1003584.1059913477, 'S1': 1303364.790584209, 'S2': 1325020.0410778518, 'S12': None, 'S15': None, 'S14': 1349834.6652966568}, {'baseline': 1016455.0222030357, 'S1': 1301614.0051246372, 'S2': 1346090.170971322, 'S12': None, 'S15': None, 'S14': 1368344.1995145306}, {'baseline': 812301.1204116562, 'S1': 1179935.7714008777, 'S2': 1232768.182355899, 'S12': None, 'S15': None, 'S14': 1246277.5327494228}]","[{'baseline': 815478.6071793805, 'S1': 1129057.1829424493, 'S2': 1118942.2306831651, 'S14': 1176852.3984315784}, {'baseline': 875144.926762815, 'S1': 1262698.5425414518, 'S2': 1262842.784667668, 'S14': 1328005.8665239622}, {'baseline': 686530.2560637097, 'S1': 1012541.2024224823, 'S2': 950563.7880716122, 'S14': 1127673.4794071014}, {'baseline': 790833.0398527482, 'S1': 1139110.9723842754, 'S2': 1170391.1042509677, 'S14': 1209004.1602426656}, {'baseline': 939787.2071634562, 'S1': 1282999.8451697095, 'S2': 1288012.7033797747, 'S14': 1350762.6535725011}, {'baseline': 730248.2698081435, 'S1': 1213041.3407022236, 'S2': 1264905.1711013615, 'S14': 1310982.7380445222}, {'baseline': 667053.5597206143, 'S1': 1035779.9007822229, 'S2': 913262.9953787321, 'S14': 1124961.0424328772}, {'baseline': 867059.2703625348, 'S1': 1110146.5164185227, 'S2': 1124617.6804808727, 'S14': 1189995.3893138703}, {'baseline': 823191.8300059758, 'S1': 1083924.9137148818, 'S2': 977696.2364606746, 'S14': 1164774.2267350107}, {'baseline': 967177.6463613296, 'S1': 1287513.4814214644, 'S2': 1257239.8731628945, 'S14': 1362718.3499114227}]"
60,1,10,"[{'baseline': 963540.774627192, 'S1': 1258797.9228998397, 'S2': 1312565.0740800826, 'S12': None, 'S15': None, 'S14': 1337375.5224649906}, {'baseline': 945956.105800481, 'S1': 1206911.6594526363, 'S2': 1242461.258546252, 'S12': None, 'S15': None, 'S14': 1271973.999944677}, {'baseline': 888083.1827462435, 'S1': 1192600.5344719433, 'S2': 1239765.2435861523, 'S12': None, 'S15': None, 'S14': 1262480.5227027878}, {'baseline': 936035.4587661712, 'S1': 1263945.507507454, 'S2': 1297815.9439771178, 'S12': None, 'S15': None, 'S14': 1324683.6406087002}, {'baseline': 1058393.476798688, 'S1': 1323566.2618235026, 'S2': 1370946.3330924471, 'S12': None, 'S15': None, 'S14': 1395552.4789307048}, {'baseline': 1147138.693329192, 'S1': 1329647.5843839513, 'S2': 1408048.291470878, 'S12': None, 'S15': None, 'S14': 1410597.9363599133}, {'baseline': 859496.0210706919, 'S1': 1149241.3819179216, 'S2': 1206379.372601808, 'S12': None, 'S15': None, 'S14': 1215456.694701609}, {'baseline': 868349.4091046543, 'S1': 1170309.0606861946, 'S2': 1227872.2402885663, 'S12': None, 'S15': None, 'S14': 1232332.79119281}, {'baseline': 817765.216180319, 'S1': 1145143.240702582, 'S2': 1196307.2637601518, 'S12': None, 'S15': None, 'S14': 1221421.1596869915}, {'baseline': 852245.3956578826, 'S1': 1190973.1512617294, 'S2': 1235554.6259609929, 'S12': None, 'S15': None, 'S14': 1259367.5043760813}]","[{'baseline': 827158.4746739548, 'S1': 1105860.1681995303, 'S2': 1137651.9418971143, 'S14': 1187207.7400706464}, {'baseline': 963117.5266184335, 'S1': 1305754.7269120244, 'S2': 1317008.19499712, 'S14': 1370660.6944061436}, {'baseline': 942232.8409270863, 'S1': 1181081.7001025144, 'S2': 1186476.1431863538, 'S14': 1266070.2806556774}, {'baseline': 779105.9262741096, 'S1': 1049429.3473869392, 'S2': 1069895.982344411, 'S14': 1134251.204286097}, {'baseline': 838627.0554534255, 'S1': 1130822.0077400643, 'S2': 1031510.9574393595, 'S14': 1198407.6737605636}, {'baseline': 962333.771714253, 'S1': 1320015.830417783, 'S2': 1176136.2634552715, 'S14': 1395430.4152142396}, {'baseline': 863672.4928672307, 'S1': 1228335.5461370957, 'S2': 1245805.4307145723, 'S14': 1306694.5314383118}, {'baseline': 942771.6506788475, 'S1': 1171233.3081365803, 'S2': 1186896.301205525, 'S14': 1240607.7369872753}, {'baseline': 657678.049370529, 'S1': 970856.4358215865, 'S2': 1003350.238827996, 'S14': 1041655.2518954297}, {'baseline': 921521.2761601383, 'S1': 1229461.0498839698, 'S2': 1230760.6159486957, 'S14': 1310054.3738615275}]"
70,1,10,"[{'baseline': 652657.3559165987, 'S1': 987166.6141424403, 'S2': 1027503.0590005132, 'S12': None, 'S15': None, 'S14': 1061125.6627969446}, {'baseline': 769378.2015058649, 'S1': 1131668.2850873806, 'S2': 1149924.3064014157, 'S12': None, 'S15': None, 'S14': 1181156.9925461775}, {'baseline': 866305.9725150124, 'S1': 1161806.540378265, 'S2': 1220786.3170042406, 'S12': None, 'S15': None, 'S14': 1247470.7587624528}, {'baseline': 902040.035303233, 'S1': 1187826.7777025134, 'S2': 1240528.9611353688, 'S12': None, 'S15': None, 'S14': 1271453.7695779651}, {'baseline': 794680.0963309773, 'S1': 1163844.5364973976, 'S2': 1188968.2590417594, 'S12': None, 'S15': None, 'S14': 1221371.0560463297}, {'baseline': 973456.3423615005, 'S1': 1234550.8393580497, 'S2': 1284837.6792567545, 'S12': None, 'S15': None, 'S14': 1308914.4380965643}, {'baseline': 833667.9565671058, 'S1': 1171662.5812508385, 'S2': 1211553.3883758488, 'S12': None, 'S15': None, 'S14': 1237443.5078089663}, {'baseline': 934219.1148852856, 'S1': 1171529.850864827, 'S2': 1220920.3096638161, 'S12': None, 'S15': None, 'S14': 1245950.261052483}, {'baseline': 811371.4606245253, 'S1': 1145671.1377099718, 'S2': 1188128.1779518812, 'S12': None, 'S15': None, 'S14': 1210563.219568902}, {'baseline': 929220.9989524515, 'S1': 1236195.2380977701, 'S2': 1277463.675040029, 'S12': None, 'S15': None, 'S14': 1300796.5859675664}]","[{'baseline': 911336.1374487382, 'S1': 1377566.569729564, 'S2': 1386880.0464942115, 'S14': 1438630.6335271406}, {'baseline': 968147.8114342073, 'S1': 1320621.255371885, 'S2': 1217938.8368224378, 'S14': 1389119.121613761}, {'baseline': 922951.7803827554, 'S1': 1337294.0019775478, 'S2': 1328644.5276567745, 'S14': 1394634.435595608}, {'baseline': 896613.6912877675, 'S1': 1146034.8105191498, 'S2': 753141.4439229654, 'S14': 1220758.2415584486}, {'baseline': 732183.6380510046, 'S1': 1004693.8488764303, 'S2': 1030603.5098022651, 'S14': 1098088.0158566919}, {'baseline': 950856.6207854282, 'S1': 1198866.9230752992, 'S2': 1270734.1749600011, 'S14': 1336486.8268316532}, {'baseline': 768894.4818249723, 'S1': 1088154.1945266512, 'S2': 873769.9429620925, 'S14': 1163571.0072137807}, {'baseline': 812011.7536082824, 'S1': 1127114.0083030874, 'S2': 1121971.9066174736, 'S14': 1196244.1327985611}, {'baseline': 788152.7220758564, 'S1': 1009209.8313787918, 'S2': 1025088.1774053827, 'S14': 1100576.8430345713}, {'baseline': 922906.0084771797, 'S1': 1154344.1406807383, 'S2': 1178788.4812160586, 'S14': 1238800.1565894755}]"
80,1,10,"[{'baseline': 883775.0165551597, 'S1': 1212022.3347934752, 'S2': 1254089.3285602438, 'S12': None, 'S15': None, 'S14': 1287199.0713240777}, {'baseline': 752101.0926660362, 'S1': 1112103.8201116465, 'S2': 1141744.262449664, 'S12': None, 'S15': None, 'S14': 1172841.953236713}, {'baseline': 927763.6913852673, 'S1': 1233333.7187012238, 'S2': 1274208.3072538269, 'S12': None, 'S15': None, 'S14': 1307036.0900095378}, {'baseline': 797496.0657239895, 'S1': 1114101.184455437, 'S2': 1145026.9796641574, 'S12': None, 'S15': None, 'S14': 1176488.1094054556}, {'baseline': 804350.6841084373, 'S1': 1134994.978149964, 'S2': 1168088.8307461967, 'S12': None, 'S15': None, 'S14': 1199181.9616872412}, {'baseline': 787317.3891083347, 'S1': 1055437.2091475397, 'S2': 1097918.3244300364, 'S12': None, 'S15': None, 'S14': 1122258.2006417073}, {'baseline': 877992.5642616827, 'S1': 1154567.334751036, 'S2': 1198910.740137958, 'S12': None, 'S15': None, 'S14': 1233647.2355889753}, {'baseline': 1030059.890953596, 'S1': 1325060.5611977088, 'S2': 1379119.0379022246, 'S12': None, 'S15': None, 'S14': 1401354.6833641573}, {'baseline': 948016.8541550182, 'S1': 1230375.270154913, 'S2': 1271150.9316043963, 'S12': None, 'S15': None, 'S14': 1302861.4481922572}, {'baseline': 806863.5495932477, 'S1': 1115999.122009399, 'S2': 1175763.6800625673, 'S12': None, 'S15': None, 'S14': 1211210.0260830682}]","[{'baseline': 902060.3937766105, 'S1': 1182181.8242268472, 'S2': 1178437.7002330814, 'S14': 1249597.5745326355}, {'baseline': 720294.8811852818, 'S1': 1071497.308508423, 'S2': 1034966.6704851774, 'S14': 1145576.0793723713}, {'baseline': 964528.3162017841, 'S1': 1263648.8740727927, 'S2': 1269973.867003838, 'S14': 1347847.0244284372}, {'baseline': 864157.0938828845, 'S1': 1206695.6164735914, 'S2': 1225607.2642896504, 'S14': 1263327.6005235862}, {'baseline': 830999.4281408042, 'S1': 1147161.5598324623, 'S2': 1166367.3053299563, 'S14': 1223372.4681080773}, {'baseline': 841104.4055300079, 'S1': 1160805.694196448, 'S2': 1157003.8746168849, 'S14': 1218900.1039189002}, {'baseline': 847191.8695665948, 'S1': 1102299.5905776008, 'S2': 1093456.9073080488, 'S14': 1180457.4039209816}, {'baseline': 875272.3115766685, 'S1': 1132487.125840392, 'S2': 1062015.8416444839, 'S14': 1209803.0672692573}, {'baseline': 1017830.8098500778, 'S1': 1265539.1236510929, 'S2': 1291820.116948342, 'S14': 1340696.8182922867}, {'baseline': 803035.1734624035, 'S1': 1105381.8073189934, 'S2': 1097537.0958787224, 'S14': 1182116.774421848}]"
90,1,10,"[{'baseline': 938135.2656114367, 'S1': 1243318.5814137186, 'S2': 1300267.813283602, 'S12': None, 'S15': None, 'S14': 1321437.8078856692}, {'baseline': 839318.170948498, 'S1': 1137687.2457488338, 'S2': 1164534.7913307312, 'S12': None, 'S15': None, 'S14': 1199399.5790723967}, {'baseline': 869975.4965392571, 'S1': 1127591.0096128976, 'S2': 1157896.2634719883, 'S12': None, 'S15': None, 'S14': 1189610.696227862}, {'baseline': 928513.8772468778, 'S1': 1183841.7847961627, 'S2': 1209691.945223012, 'S12': None, 'S15': None, 'S14': 1242216.288688497}, {'baseline': 997368.5292145462, 'S1': 1280482.5477895436, 'S2': 1327096.6635470686, 'S12': None, 'S15': None, 'S14': 1356133.8551292452}, {'baseline': 948170.2375745072, 'S1': 1247718.5976249333, 'S2': 1278729.1013709246, 'S12': None, 'S15': None, 'S14': 1308759.9339915046}, {'baseline': 740610.0323350007, 'S1': 1068949.3514549707, 'S2': 1114931.3527969536, 'S12': None, 'S15': None, 'S14': 1143569.9493479289}, {'baseline': 910487.8762897268, 'S1': 1195510.5113214022, 'S2': 1247707.7298410984, 'S12': None, 'S15': None, 'S14': 1278214.9515625385}, {'baseline': 969939.1525990658, 'S1': 1255432.6041887216, 'S2': 1313324.9956950035, 'S12': None, 'S15': None, 'S14': 1343860.8971320256}, {'baseline': 1036585.2470663813, 'S1': 1302437.8311516298, 'S2': 1340738.7246312385, 'S12': None, 'S15': None, 'S14': 1370294.9342410634}]","[{'baseline': 780641.0808392813, 'S1': 1094518.476657931, 'S2': 1114072.1364101586, 'S14': 1159262.2189816555}, {'baseline': 746482.0938980437, 'S1': 1126254.6022699694, 'S2': 1124448.2143958507, 'S14': 1200326.269411974}, {'baseline': 825820.3191539571, 'S1': 1155596.449348555, 'S2': 1176622.7091642385, 'S14': 1237641.6145670228}, {'baseline': 845059.809837753, 'S1': 1143034.2880486327, 'S2': 1088688.1984713394, 'S14': 1211890.0921145873}, {'baseline': 830002.8315667915, 'S1': 1133823.4375749612, 'S2': 1118742.383142924, 'S14': 1204465.3011702173}, {'baseline': 958895.4725807877, 'S1': 1222976.0443412215, 'S2': 1262395.380004033, 'S14': 1317841.010163739}, {'baseline': 756129.2129339345, 'S1': 1067762.487707905, 'S2': 604822.0101100325, 'S14': 1150703.70855355}, {'baseline': 1001249.4961490192, 'S1': 1200418.307575072, 'S2': 1242959.4251685932, 'S14': 1282447.3286694456}, {'baseline': 894009.327037758, 'S1': 1132605.7618749347, 'S2': 971703.0568556765, 'S14': 1227254.382865294}, {'baseline': 1082504.0231821781, 'S1': 1256865.1371297124, 'S2': 1279374.1829675245, 'S14': 1358355.656683479}]"
