baseline,S1,S2,S12,S15,S14
814403.9711316482,1116244.0045316909,1158370.7394631547,,,1184368.2110125797
964256.599538351,1231888.7909079148,1272014.0526025249,,,1304420.1488647677
822788.5283135639,1110373.8325759645,1149496.9831723706,,,1181751.1882903613
817294.5705213769,1102920.5790480415,1153299.1495291018,,,1186074.3808362014
940532.0725003671,1235947.3543692932,1276214.5539040377,,,1307055.6706129347
873988.4862859414,1129278.718994089,1175522.97151069,,,1203905.5377165184
966157.674424043,1218345.5169196287,1268696.2068694613,,,1298008.434169589
922114.8620746935,1200331.2458131777,1247546.5571944758,,,1274443.7746470093
883717.5231677125,1187823.1112942128,1221663.9980069604,,,1252259.7196574782
784444.2860579289,1088722.2094738476,1128245.027006195,,,1159824.3048494898
