baseline,S1,S2,S12,S15,S14
883775.0165551597,1212022.3347934752,1254089.3285602438,,,1287199.0713240777
752101.0926660362,1112103.8201116465,1141744.262449664,,,1172841.953236713
927763.6913852673,1233333.7187012238,1274208.3072538269,,,1307036.0900095378
797496.0657239895,1114101.184455437,1145026.9796641574,,,1176488.1094054556
804350.6841084373,1134994.978149964,1168088.8307461967,,,1199181.9616872412
787317.3891083347,1055437.2091475397,1097918.3244300364,,,1122258.2006417073
877992.5642616827,1154567.334751036,1198910.740137958,,,1233647.2355889753
1030059.890953596,1325060.5611977088,1379119.0379022246,,,1401354.6833641573
948016.8541550182,1230375.270154913,1271150.9316043963,,,1302861.4481922572
806863.5495932477,1115999.122009399,1175763.6800625673,,,1211210.0260830682
