baseline,S1,S2,S12,S15,S14
877081.1330510875,1167123.1179599627,1230151.6193959254,,,1255803.1687665521
919674.0504887232,1180833.115393106,1234420.2275956725,,,1250552.7599348833
1070188.3776650517,1255640.5526988,1315385.1870503747,,,1315960.3326164072
829027.422354609,1144446.4579644983,1186043.214301669,,,1204891.6211904478
893964.7968757469,1133410.5106426158,1185757.5975524173,,,1210218.9842188852
768248.9451105302,1053335.1365641486,1075148.207852719,,,1107977.0673551257
789950.5168105513,1099734.6207639317,1130566.6829455206,,,1167042.342297168
1003584.1059913477,1303364.790584209,1325020.0410778518,,,1349834.6652966568
1016455.0222030357,1301614.0051246372,1346090.170971322,,,1368344.1995145306
812301.1204116562,1179935.7714008777,1232768.182355899,,,1246277.5327494228
